trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'e': 0.07999999999999925, 'a': 0.5}",20,6,21.86115832022229,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.06999999999999926, 'a': 0.5}",25,13,21.449598686536458,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'e': 0.059999999999999255, 'a': 0.5}",20,12,13.841143605203976,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'e': 0.04999999999999925, 'a': 0.5}",30,21,7.764468893623681,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0, 'a': 0}",30,20,20.865825311725168,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0, 'a': 0}",20,14,10.885825302491666,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0, 'a': 0}",25,19,13.794021625987352,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0, 'a': 0}",25,15,20.888305414568368,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0, 'a': 0}",25,13,20.454226951626293,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0, 'a': 0}",20,6,26.15603489887893,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0, 'a': 0}",30,16,26.11199802594143,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0, 'a': 0}",20,16,7.666594177106958,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0, 'a': 0}",25,20,10.20748032110563,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0, 'a': 0}",20,14,14.656311366686339,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
11,True,"{'e': 0, 'a': 0}",20,12,12.595248221882262,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,True,"{'e': 0, 'a': 0}",30,18,21.980163185287246,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,True,"{'e': 0, 'a': 0}",25,13,23.47806687034715,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,True,"{'e': 0, 'a': 0}",30,23,13.004332791488094,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,True,"{'e': 0, 'a': 0}",20,15,10.702935842823283,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,True,"{'e': 0, 'a': 0}",20,7,23.799396082387137,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,True,"{'e': 0, 'a': 0}",20,9,21.79702173243794,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,True,"{'e': 0, 'a': 0}",25,17,14.83333567649066,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'e': 0, 'a': 0}",20,12,16.714830352392553,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'e': 0, 'a': 0}",20,13,14.888626055491468,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'e': 0, 'a': 0}",20,14,13.041047123063219,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'e': 0, 'a': 0}",30,14,30.66365326975946,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'e': 0, 'a': 0}",20,14,12.043466876277968,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'e': 0, 'a': 0}",20,16,7.692167859389568,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'e': 0, 'a': 0}",30,22,13.103371151877512,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'e': 0, 'a': 0}",30,18,22.21676160544701,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'e': 0, 'a': 0}",25,17,16.8204057934933,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'e': 0, 'a': 0}",35,16,32.16847597204659,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'e': 0, 'a': 0}",20,12,11.31190231703856,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'e': 0, 'a': 0}",20,7,24.03760361730874,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
31,True,"{'e': 0, 'a': 0}",20,16,6.10324203473926,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,True,"{'e': 0, 'a': 0}",20,8,19.321070777566078,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
33,True,"{'e': 0, 'a': 0}",35,21,24.51217610876993,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,True,"{'e': 0, 'a': 0}",20,11,17.108869915860495,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,True,"{'e': 0, 'a': 0}",25,20,8.764111686381682,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
36,True,"{'e': 0, 'a': 0}",20,16,9.45197101387283,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
37,True,"{'e': 0, 'a': 0}",25,14,21.622359603460172,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,True,"{'e': 0, 'a': 0}",20,10,21.447133083756828,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,True,"{'e': 0, 'a': 0}",25,13,24.383550898614807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,True,"{'e': 0, 'a': 0}",20,13,13.330244084661853,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
41,True,"{'e': 0, 'a': 0}",25,19,10.597306292800166,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,True,"{'e': 0, 'a': 0}",20,8,21.031938666624523,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
43,True,"{'e': 0, 'a': 0}",20,7,25.447065905122436,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,True,"{'e': 0, 'a': 0}",25,11,27.809240008135326,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
